matchnum,team,auton start pos,auton station level,auton upper,auton middle,auton low,teleop upper,teleop middle,teleop low,placeable game pieces_Cones,placeable game pieces_Cubes,endgame station,hp comms,defense,extra_Drops Pieces,extra_Brick Bot,extra_Maneuverable,extra_Lost Comms,extra_Tipped over,extra_Picks up from ground,comments
1,5534,Bump,No Balancing Shown,,,1,,,5,,true,Docked,good,No Defense shown,,,,,,,Red alliance. Tippy robot that isn’t very fast. Filled up most of low row themselves though took a long time to get cubes.
3,245,Center,Engaged (level),1,,,3,1,,true,,Engaged (level),good,Pushes a little bit,,,true,,,,Good bulky bot but maneuverable and can go quickly and pick up
2,1718,Bump,Left community,1,,,3,3,1,true,,Engaged (level),good,No Defense shown,,,true,,,,
2,2771,Center,Engaged (level),1,,,2,,1,true,,Engaged (level),good,No Defense shown,,,true,,,,"Blue alliance. 2 robot balance. Pretty fast, swerve drive. Good at placing cones and cubes."
3,7211,No Bump,Left community,1,0,0,2,3,1,true,,Engaged (level),good,No Defense shown,,,true,,,true,Red alliance 
3,3620,No Bump,Left community,2,,,5,1,,true,,Engaged (level),good,Pushes a little bit,,,,,,,"Blue alliance, 2 robot balance. Auton ran into charge station and almost messed up balancing points, though it is a 2 piece auton. Defense countered them and they aren’t that fast"
4,8382,Bump,No Balancing Shown,1,0,0,,1,,true,,Engaged (level),,Moderately slows down robots,,,,,,true,"Red Alliance.
"
4,2604,Bump,Left community,0,0,0,0,0,0,,,No station,neutral/no human,Can't defend at all,,true,,,,,"blue team, bumped into another bot and lost comms for practically the entire game"
4,6078,No Bump,,1,,,3,,2,true,,Parked (in community),good,No Defense shown,,,,,,,Picks up from dss only. Slowed way down half way thru match. Missed 2nd cone in auton.
5,2611,Center,Engaged (level),1,,,3,,2,true,,Engaged (level),good,,,,true,,,,Very tippy bot no ground pickup but can maneuver quickly and easily place.
5,7160,Center,Docked,1,0,0,2,3,0,true,,Parked (in community),good,No Defense shown,,,true,,,,
5,503,Bump,Left community,,,1,3,1,2,true,,Parked (in community),good,No Defense shown,,,true,,,,Red alliance. Elevator to score in mid and high inconsistent. Attempted 2 piece teleop but only one scored.
6,5561,Center,Engaged (level),1,,,,1,3,,true,Engaged (level),neutral/no human,Pushes a little bit,,,true,,,,Good ground pickup but only cubes. Good maneuverability but only low node.
6,3767,No Bump,No Balancing Shown,1,0,0,3,1,2,true,,Parked (in community),good,Can't defend at all,true,,,,,,"Blue alliance, very tippy, to the point where I would not pick them. Almost went down twice after getting bumped a little bit."
6,7782,Bump,No Balancing Shown,1,0,0,2,1,0,true,,Engaged (level),neutral/no human,No Defense shown,,,,,,true,very slow
6,5926,Center,Left community,1,0,1,,2,1,true,,Engaged (level),good,No Defense shown,,,,,,,Red alliance 
6,4362,No Bump,,1,,,3,3,1,true,,No station,good,No Defense shown,,,true,,,,"Missed 2 in auon, dropped last cone at dss, waited for cone and missed park and lost by 1 point"
7,5560,Center,Left community,1,0,0,2,2,0,true,,Engaged (level),neutral/no human,No Defense shown,,,,,,,"the tippiest bot, im pretty shocked it didn't fall over and break"
7,9208,Bump,Left community,1,,,,,3,,true,Engaged (level),good,Pushes a little bit,,,true,,,,"Decent bot, a little heavy but could engage and had decent auton."
7,2832,Center,Engaged (level),,,,4,,,true,,Parked (in community),good,No Defense shown,,,,true,,,Cleared zone in auton. Triple balanced with arms pushing them up. Rammed twice and almost tipped both times.
7,5660,Center,Left community,1,0,0,2,4,0,true,,Engaged (level),good,No Defense shown,,,true,,,,absolutely insane drivers. rockets over bump and charging station. sturdy bot. auton messed up by other bot in beginning
8,3620,No Bump,Left community,1,0,1,3,3,0,true,,Engaged (level),good,No Defense shown,,,,,,,speedy and picks up good
8,6861,Bump,Left community,0,0,0,,,6,true,,Parked (in community),neutral/no human,No Defense shown,,,,,,true,fairly slow. THE BOT HAS A MOVING EYE ITS SO COOL
8,5534,Center,Left community,1,,,2,2,,true,,Parked (in community),neutral/no human,No Defense shown,,,,,,,"Red alliance, same as before"
9,2611,Bump,Left community,1,,,3,,,true,,Parked (in community),good,Pushes a little bit,,,true,,,,Same as last game but still tippy with a decent arm. Not too maneuverable. Good defense can stop it.
9,7211,No Bump,Left community,1,0,0,2,1,1,true,,Engaged (level),neutral/no human,No Defense shown,,,,,,,"A little tippy.  Almost fell once
Blue Alliance"
9,1718,Center,Engaged (level),1,,,4,,1,true,,Engaged (level),good,No Defense shown,,,true,,,,Missed 1 mid cube in tele
9,503,Bump,Left community,,,1,,1,2,true,,Engaged (level),poor,No Defense shown,,,true,,,,"2 robot balance, red alliance. Elevator inconsistent, they missed 2 cones on the high."
10,1023,Center,No Balancing Shown,0,0,0,0,2,3,true,,Engaged (level),good,No Defense shown,,,,,,true,"able to score high, but kept going for mid and low nodes? grabs from double station"
10,2771,Bump,No Balancing Shown,1,,,,,2,true,,Engaged (level),neutral/no human,No Defense shown,,,,,,,"Red alliance. Struggled to place a piece for a bit, maybe problem with claw. 2 bot balance"
