matchnum,team,auton start pos,auton station level,auton upper,auton middle,auton low,teleop upper,teleop middle,teleop low,placeable game pieces_Cones,placeable game pieces_Cubes,endgame station,hp comms,defense,extra_Drops Pieces,extra_Brick Bot,extra_Maneuverable,extra_Lost Comms,extra_Tipped over,extra_Picks up from ground,comments,robot_stop_time,Team EPA
7,6099,L,,1,0,0,0,0,0,true,,Engaged (level),neutral/no human,No Defense shown,true,,,,,,very slow to pick things up,,
7,5926,C,Docked,1,0,0,2,1,1,,true,No station,good,No Defense shown,,,true,,,,Pretty maneuverable but it isn’t efficient in placing. Only places cubes and auton is not too good. ,,
7,1701,L,Engaged (level),1,0,0,2,4,0,true,,Parked (in community),good,Pushes a little bit,,,true,,,,,0,
8,5901,C,Left community,1,0,0,4,0,0,true,,Engaged (level),neutral/no human,No Defense shown,,,true,,,,,,
8,6567,C,Docked,0,1,0,0,2,0,true,,Engaged (level),neutral/no human,No Defense shown,true,,,,,,,0,
8,7224,C,Engaged (level),1,0,0,3,0,0,true,,Engaged (level),neutral/no human,No Defense shown,,,,,,true,,,
9,818,C,Engaged (level),1,0,0,4,2,0,true,,Engaged (level),,No Defense shown,,,true,,,,"Can quickly pick up cubes and cones, has very good communications",0,
10,123,R,Left community,1,0,0,3,0,1,true,,Engaged (level),good,No Defense shown,true,,,,,,,,
10,4140,C,Engaged (level),1,,,,,,true,,No station,good,No Defense shown,,,,,true,,Tippy McTipperson (Early in match),,
10,6077,L,No Balancing Shown,0,0,0,0,0,4,,true,Engaged (level),neutral/no human,Pushes a little bit,,,,,,true,No auton. Stays stationary until Teleop. Not very maneuverable and pushes a little.,,
10,4779,R,Engaged (level),1,,,4,1,3,true,,Parked (in community),neutral/no human,No Defense shown,true,,,,,,"Had dropped a cone in community, but picked it up in 3 seconds to place high.
Slow turning with in the community ",,
11,5460,L,,1,,,2,3,3,true,,Parked (in community),good,No Defense shown,,,true,,,,,,
11,5046,C,Engaged (level),1,0,0,0,0,0,,true,Engaged (level),good,"Very Good defense, significantly slows robots",,,true,,,,Very easily blocked other team but sometimes would end up blocking their own team,,
